Timestamp,LogLevel,Process_CPU_Percent,System_CPU_Percent,Process_RAM_MB,System_Available_RAM_GB,Total_Speakers,Speaker,Language,Segment_Start,Segment_End,Message
"2026-06-04 15:40:36,898",INFO,0.0,27.0,425.5,1.47,,,,,,Logging system initialized. Outputting structured logs exclusively to CSV.
"2026-06-04 15:40:37,000",INFO,0.0,15.6,425.5,1.47,,,,,,"System details: Python PID=27756, Logical CPUs=12, OS RAM Total=7.7 GB"
"2026-06-04 15:40:37,101",INFO,0.0,16.2,425.5,1.47,,,,,,Speech-to-Text Pipeline execution started.
"2026-06-04 15:40:37,203",INFO,0.0,21.1,425.5,1.49,,,,,,=== Starting Section: Loading Hugging Face Pyannote Diarization Pipeline ===
"2026-06-04 15:40:40,487",INFO,113.4,21.6,564.0,1.36,,,,,,=== Finished Section: Loading Hugging Face Pyannote Diarization Pipeline (Duration: 3.183s | RAM Change: +138.5MB) ===
"2026-06-04 15:40:40,488",INFO,545.3,50.0,564.0,1.36,,,,,,=== Starting Section: Loading and Preprocessing Audio file ===
"2026-06-04 15:40:40,738",INFO,334.9,50.5,568.2,1.35,,,,,,"Original Audio details: duration=60.01s, channels=1, sample_rate=22050Hz"
"2026-06-04 15:40:40,755",INFO,0.0,15.6,567.5,1.35,,,,,,"Audio normalized to mono, 16kHz, 16-bit depth."
"2026-06-04 15:40:40,857",INFO,0.0,8.5,567.5,1.35,,,,,,=== Finished Section: Loading and Preprocessing Audio file (Duration: 0.266s | RAM Change: +3.5MB) ===
"2026-06-04 15:40:40,958",INFO,0.0,16.5,567.5,1.35,,,,,,=== Starting Section: Loading OpenAI Whisper Model ===
"2026-06-04 15:40:43,786",INFO,175.3,34.2,1678.2,0.54,,,,,,=== Finished Section: Loading OpenAI Whisper Model (Duration: 2.727s | RAM Change: +1110.7MB) ===
"2026-06-04 15:40:43,788",INFO,450.9,52.3,1678.2,0.58,,,,,,=== Starting Section: Converting Full Audio to Float32 Waveform ===
"2026-06-04 15:40:43,889",DEBUG,468.3,44.4,1678.2,0.59,,,,,,"Entering 'segment_to_float32' - Arguments: args=(<pydub.audio_segment.AudioSegment object at 0x000002B21DCC2C10>,), kwargs={}"
"2026-06-04 15:40:43,990",DEBUG,15.6,31.8,1678.2,0.59,,,,,,"Converting segment to float32: duration=60.01s, channels=1, rate=16000Hz"
"2026-06-04 15:40:44,095",DEBUG,0.0,18.4,1681.9,0.59,,,,,,"Exiting 'segment_to_float32' - Output: ndarray (shape=(960086,), dtype=float32) | Time: 0.1043s"
"2026-06-04 15:40:44,196",INFO,0.0,29.2,1681.9,0.61,,,,,,"Full waveform tensor shape=torch.Size([1, 960086]), dtype=torch.float32"
"2026-06-04 15:40:44,298",INFO,0.0,44.6,1681.9,0.62,,,,,,=== Finished Section: Converting Full Audio to Float32 Waveform (Duration: 0.409s | RAM Change: +3.7MB) ===
"2026-06-04 15:40:44,399",INFO,0.0,30.7,1681.9,0.66,,,,,,=== Starting Section: Running Pyannote Speaker Diarization ===
"2026-06-04 15:41:28,388",INFO,556.4,75.8,1980.9,0.98,,,,,,=== Finished Section: Running Pyannote Speaker Diarization (Duration: 43.879s | RAM Change: +298.0MB) ===
"2026-06-04 15:41:28,402",INFO,311.8,49.4,1981.7,0.97,,,,,,=== Starting Section: Optimizing Speaker Segments Timeline ===
"2026-06-04 15:41:28,504",DEBUG,0.0,15.3,1981.7,0.96,,,,,,"Entering 'build_clean_segments' - Arguments: args=(<pyannote.core.annotation.Annotation object at 0x000002B221E7B610>,), kwargs={}"
"2026-06-04 15:41:28,606",INFO,0.0,20.0,1981.7,0.96,,,,,,"Timeline extraction: raw=1, discarded noise (<0.6s)=0, kept=1"
"2026-06-04 15:41:28,708",DEBUG,0.0,9.5,1981.8,0.95,,,,,,"Entering 'merge_same_speaker' - Arguments: args=([(0.03096875, 60.12284375, 'SPEAKER_00')],), kwargs={'merge_gap': 0.35}"
"2026-06-04 15:41:28,809",INFO,0.0,22.2,1981.8,0.94,,,,,,"Merging same-speaker segments. Input count: 1, Gap threshold: 0.35s"
"2026-06-04 15:41:28,911",INFO,0.0,9.5,1981.8,0.94,,,,,,"Merging complete. Output count: 1 (merged 0 segments) | Time Complexity: O(n), Space Complexity: O(n)"
"2026-06-04 15:41:29,012",DEBUG,0.0,9.7,1981.8,0.94,,,,,,Exiting 'merge_same_speaker' - Output: list of length 1 | Time: 0.2026s
"2026-06-04 15:41:29,113",DEBUG,0.0,44.7,1981.8,0.93,,,,,,"Entering 'split_overlaps' - Arguments: args=([(0.03096875, 60.12284375, 'SPEAKER_00')],), kwargs={}"
"2026-06-04 15:41:29,215",INFO,0.0,33.3,1981.8,0.93,,,,,,Resolving overlapping speaker segments. Input count: 1
"2026-06-04 15:41:29,316",INFO,0.0,38.6,1981.8,0.92,,,,,,"Overlap resolution complete. Output count: 1 (performed 0 splits/truncations) | Time Complexity: O(n), Space Complexity: O(n)"
"2026-06-04 15:41:29,417",DEBUG,0.0,27.0,1981.8,0.91,,,,,,Exiting 'split_overlaps' - Output: list of length 1 | Time: 0.2028s
"2026-06-04 15:41:29,519",DEBUG,0.0,20.8,1981.8,0.91,,,,,,"Entering 'merge_same_speaker' - Arguments: args=([(0.03096875, 60.12284375, 'SPEAKER_00')],), kwargs={'merge_gap': 0.01}"
"2026-06-04 15:41:29,620",INFO,0.0,22.8,1981.8,0.90,,,,,,"Merging same-speaker segments. Input count: 1, Gap threshold: 0.01s"
"2026-06-04 15:41:29,721",INFO,0.0,11.7,1981.8,0.89,,,,,,"Merging complete. Output count: 1 (merged 0 segments) | Time Complexity: O(n), Space Complexity: O(n)"
"2026-06-04 15:41:29,823",DEBUG,0.0,5.0,1981.8,0.89,,,,,,Exiting 'merge_same_speaker' - Output: list of length 1 | Time: 0.2022s
"2026-06-04 15:41:29,924",DEBUG,0.0,6.6,1981.8,0.89,,,,,,Exiting 'build_clean_segments' - Output: list of length 1 | Time: 1.3182s
"2026-06-04 15:41:30,025",INFO,0.0,5.0,1981.9,0.88,,,,,,=== Finished Section: Optimizing Speaker Segments Timeline (Duration: 1.522s | RAM Change: +0.2MB) ===
"2026-06-04 15:41:30,127",INFO,0.0,11.9,1981.9,0.87,1,,,,,Speaker Diarization complete: Found 1 unique speakers: ['SPEAKER_00']
"2026-06-04 15:41:30,228",INFO,0.0,29.2,1982.1,0.87,1,,,,,Starting Whisper transcription for 1 segments.
"2026-06-04 15:41:30,330",INFO,0.0,28.0,1982.1,0.81,,,,,,=== Starting Section: Transcribing 1 audio segments ===
"2026-06-04 15:41:30,434",INFO,0.0,19.7,1982.2,0.80,1,SPEAKER_00,,0.03,60.12,Transcribing segment 1/1: [0.03s -- 60.12s] for SPEAKER_00
"2026-06-04 15:41:30,543",DEBUG,0.0,6.0,1986.0,0.80,,,,,,"Entering 'segment_to_float32' - Arguments: args=(<pydub.audio_segment.AudioSegment object at 0x000002B21DCC2850>,), kwargs={}"
"2026-06-04 15:41:30,644",DEBUG,0.0,10.7,1986.0,0.80,,,,,,"Converting segment to float32: duration=59.98s, channels=1, rate=16000Hz"
"2026-06-04 15:41:30,753",DEBUG,0.0,8.4,1989.8,0.79,,,,,,"Exiting 'segment_to_float32' - Output: ndarray (shape=(959600,), dtype=float32) | Time: 0.1072s"
"2026-06-04 15:42:41,250",INFO,569.8,69.8,1536.7,1.01,1,SPEAKER_00,en,0.03,60.12,"Segment 1 transcribed successfully in 70.71s: ""Welcome to samplolid.com, a free online resource f..."""
"2026-06-04 15:42:42,279",INFO,141.8,22.2,1794.1,0.67,,,,,,=== Finished Section: Transcribing 1 audio segments (Duration: 71.847s | RAM Change: -188.0MB) ===
"2026-06-04 15:42:42,280",INFO,0.0,24.1,1794.2,0.70,,,,,,Done. Wrote transcript to: transcript.txt
